2.475562699070044115e-01,-2.268922285409796513e-01
2.348194969757307626e-01,-2.301862395754750157e-01
2.298125999999676150e-01,-2.188489016891846106e-01
2.210306466193093788e-01,-2.336774485764849252e-01
2.161400311513071992e-01,-2.300476243311967706e-01
1.762203866942444741e-01,-1.677638972749226354e-01
1.587353839650053333e-01,-1.468827307512469704e-01
1.457105104355264913e-01,-1.403983607700018399e-01
1.328964884265066704e-01,-1.300716926680717256e-01
8.428366174120305310e-02,-8.460977190278308468e-02
3.760806570728002229e-02,-4.965442967606626540e-02
3.064381321045023254e-02,-4.064318156361549500e-02
3.378777225572765497e-02,-1.766327950256168372e-02
-2.930721542899319271e-02,2.255559207731543461e-02
-2.256892149404646913e-02,2.892884714355527936e-02
-3.437065477659108359e-02,1.590450014500375750e-02
-4.971527447556355755e-02,3.329195779931820587e-02
-7.540256008371845620e-02,6.247882591297024973e-02
-6.403419914075017538e-02,6.762644487103001978e-02
-8.707281792897211825e-02,9.256471191220350114e-02
